origin_group,year,from,to,count,stock,prob
Continental Europe,2018,H_D,H_D,18,19,0.8222222222222222
Continental Europe,2018,P_A,P_A,1,1,0.3333333333333333
Continental Europe,2018,P_D,P_D,13,13,0.8181818181818182
Continental Europe,2019,A,A,1,1,0.3333333333333333
Continental Europe,2019,D,D,7,7,0.7142857142857143
Continental Europe,2019,H_A,H_A,3,4,0.4666666666666667
Continental Europe,2019,H_A,P_A,1,4,0.2
Continental Europe,2019,H_D,H_D,19,20,0.8297872340425532
Continental Europe,2019,H_D,P_D,1,20,0.06382978723404255
Continental Europe,2019,P_A,P_A,1,1,0.3333333333333333
Continental Europe,2019,P_D,P_A,2,13,0.15151515151515152
Continental Europe,2019,P_D,P_D,11,13,0.696969696969697
Continental Europe,2020,A,A,1,1,0.3333333333333333
Continental Europe,2020,D,D,7,7,0.7142857142857143
Continental Europe,2020,H_A,H_A,2,3,0.38461538461538464
Continental Europe,2020,H_A,P_A,1,3,0.23076923076923078
Continental Europe,2020,H_D,H_A,1,19,0.06666666666666667
Continental Europe,2020,H_D,H_D,17,19,0.7777777777777778
Continental Europe,2020,H_D,P_D,1,19,0.06666666666666667
Continental Europe,2020,P_A,P_A,4,4,0.6
Continental Europe,2020,P_D,P_D,12,12,0.8064516129032258
Continental Europe,2021,A,A,1,1,0.3333333333333333
Continental Europe,2021,D,D,7,7,0.7142857142857143
Continental Europe,2021,H_A,H_A,3,3,0.5384615384615384
Continental Europe,2021,H_D,H_D,17,17,0.8536585365853658
Continental Europe,2021,P_A,P_A,5,5,0.6470588235294118
Continental Europe,2021,P_D,P_D,13,13,0.8181818181818182
Continental Europe,2022,A,A,1,1,0.3333333333333333
Continental Europe,2022,D,D,7,7,0.7142857142857143
Continental Europe,2022,H_A,H_A,3,3,0.5384615384615384
Continental Europe,2022,H_D,H_A,1,17,0.07317073170731707
Continental Europe,2022,H_D,H_D,15,17,0.7560975609756098
Continental Europe,2022,H_D,P_D,1,17,0.07317073170731707
Continental Europe,2022,P_A,P_A,5,5,0.6470588235294118
Continental Europe,2022,P_D,P_A,1,13,0.09090909090909091
Continental Europe,2022,P_D,P_D,12,13,0.7575757575757576
Hindu,2000,D,D,2,2,0.45454545454545453
Hindu,2001,D,D,1,3,0.23076923076923078
Hindu,2001,D,H_D,1,3,0.23076923076923078
Hindu,2001,D,P_D,1,3,0.23076923076923078
Hindu,2002,D,D,2,2,0.45454545454545453
Hindu,2002,H_D,H_A,1,1,0.3333333333333333
Hindu,2002,P_D,P_D,1,1,0.3333333333333333
Hindu,2003,D,D,4,4,0.6
Hindu,2003,H_A,H_A,1,1,0.3333333333333333
Hindu,2003,P_D,P_D,1,1,0.3333333333333333
Hindu,2004,D,D,4,4,0.6
Hindu,2004,H_A,H_A,1,1,0.3333333333333333
Hindu,2004,H_D,H_D,1,1,0.3333333333333333
Hindu,2004,P_D,P_D,1,1,0.3333333333333333
Hindu,2005,D,D,6,6,0.6842105263157895
Hindu,2005,H_A,H_A,1,1,0.3333333333333333
Hindu,2005,H_D,H_D,1,1,0.3333333333333333
Hindu,2005,P_D,P_D,1,1,0.3333333333333333
Hindu,2006,D,D,5,6,0.5789473684210527
Hindu,2006,D,H_D,1,6,0.15789473684210525
Hindu,2006,H_A,H_A,1,1,0.3333333333333333
Hindu,2006,H_D,H_D,1,1,0.3333333333333333
Hindu,2006,P_D,P_D,1,1,0.3333333333333333
Hindu,2007,D,D,2,6,0.2631578947368421
Hindu,2007,D,H_D,3,6,0.3684210526315789
Hindu,2007,D,P_D,1,6,0.15789473684210525
Hindu,2007,H_A,H_A,1,1,0.3333333333333333
Hindu,2007,H_D,H_D,2,2,0.45454545454545453
Hindu,2007,P_D,P_D,1,1,0.3333333333333333
Hindu,2008,D,D,5,5,0.6470588235294118
Hindu,2008,H_A,H_A,1,1,0.3333333333333333
Hindu,2008,H_D,H_D,5,5,0.6470588235294118
Hindu,2008,P_D,P_D,2,2,0.45454545454545453
Hindu,2009,D,D,6,7,0.6190476190476191
Hindu,2009,D,H_D,1,7,0.14285714285714285
Hindu,2009,H_A,H_A,1,1,0.3333333333333333
Hindu,2009,H_D,H_D,5,5,0.6470588235294118
Hindu,2009,P_D,P_D,2,2,0.45454545454545453
Hindu,2010,D,D,6,7,0.6190476190476191
Hindu,2010,D,H_D,1,7,0.14285714285714285
Hindu,2010,H_A,H_A,1,1,0.3333333333333333
Hindu,2010,H_D,H_D,6,6,0.6842105263157895
Hindu,2010,P_D,P_D,2,2,0.45454545454545453
Hindu,2011,D,D,6,9,0.52
Hindu,2011,D,H_D,3,9,0.28
Hindu,2011,H_A,H_A,1,1,0.3333333333333333
Hindu,2011,H_D,H_D,8,8,0.7391304347826086
Hindu,2011,P_D,P_D,2,2,0.45454545454545453
Hindu,2012,D,D,6,8,0.5652173913043478
Hindu,2012,D,H_D,2,8,0.21739130434782608
Hindu,2012,H_A,H_A,1,1,0.3333333333333333
Hindu,2012,H_D,H_D,10,11,0.7241379310344828
Hindu,2012,H_D,P_D,1,11,0.10344827586206896
Hindu,2012,P_D,P_D,2,2,0.45454545454545453
Hindu,2013,D,D,7,7,0.7142857142857143
Hindu,2013,H_A,H_A,1,1,0.3333333333333333
Hindu,2013,H_D,H_D,12,12,0.8064516129032258
Hindu,2013,P_D,P_D,3,3,0.5384615384615384
Hindu,2014,D,D,7,8,0.6521739130434783
